"GeneSet","OddsRatio_glm","OddsRatio_smote"
"(Intercept)",0.00782284843217485,0.00699385267178558
"`arr-2`",1.84705211432764,2.12808512095621
"bleO",3.89305555281548,3.86237196587827
"dfrA12",1.29248259491738,1.33898716281177
"floR",4.77081314187684,4.99396179143074
"fosA3",2.51353881030277,2.28654568308967
"oqxA2",1.3759093949209,1.57030608963531
"oqxB",4.77601097776186,5.07738985095536
"oqxB2",2.24804355584454,3.06137134315333
"qacL",1.1390817646872,1.12492154390656
"qnrS2",3.94175355069306,5.74395225261245
"sul3",2.8762574106171,3.04920562044881
"`tet(M)`",1.50894175636454,1.66952149344095
"`blaCTX-M-55`:blaEC",1.32188413032115,1.3690174162493
"`aac(3)-IId`:blaEC",1.64565246457191,1.92410421020392
"blaEC:qnrS1:`tet(A)`",1.06606395986014,1.54788029370518
"`aph(3')-Ia`:blaEC:`mph(A)`",1.13112084630488,1.34046059890488
"blaEC:sul3:`tet(A)`",1.20866743770415,1.16510280953657
"blaEC:floR:qnrS1",1.64828852864322,1.21997294760108
"`aph(3')-Ia`:blaEC:floR:`tet(A)`",1.05627193636514,1.01422823626237
"aadA2:blaEC:dfrA12:qnrS1:sul3:`tet(A)`",1.13900141343992,1.09122314512936
"aadA1:aadA2:blaEC:cmlA1:dfrA12:qacL:sul3",1.0761014631298,1.139230938473
"`aph(3'')-Ib`:`aph(6)-Id`:blaEC:bleO:clpK:oqxA:oqxB",3.36775371106512,6.98048100863118
"`aac(3)-IIa`:aadA1:`aph(3'')-Ib`:`aph(6)-Id`:blaEC:dfrA1:qacEdelta1:sul1:`tet(A)`",6.69447440898357,17.6558170731839
"`aac(3)-IId`:aadA5:`aph(3'')-Ib`:`aph(6)-Id`:`blaCTX-M-65`:blaEC:`blaTEM-1`:dfrA17:`mph(A)`:qacEdelta1:sul1:sul2:`tet(A)`",2.31440280572671,4.13655579921921
"`aac(6')-Ib3`",NA,1.01708107895075
"`arr-3`",NA,1.01965479728596
"`blaCTX-M-125`",NA,4.12471720705956
"`blaCTX-M-125`:blaEC",NA,1.00874711348813
"blaEC:dfrA14:sul2:`tet(A)`",NA,1.285321462439
"blaEC:`blaTEM-135`:floR:`tet(A)`",NA,1.53282082393621
"`aac(3)-IId`:`blaCTX-M-55`:blaEC:qnrS1:`tet(A)`",NA,1.16331750166336
"aadA1:`aph(3')-IIa`:blaEC:`blaTEM-1`:bleO:qacEdelta1:sul1:`tet(A)`",NA,0.854071477497814
"aadA1:`arr-2`:blaEC:`blaOXA-10`:cmlA5:dfrA14:qnrS1:`tet(A)`",NA,1.42013019374512
"aadA2:`aph(3'')-Ib`:`aph(6)-Id`:bla:`blaCTX-M-55`:blaEC:dfrA12:floR:`mph(A)`:sul2",NA,1.98792256913091
"`aac(3)-IId`:aadA5:`aph(3'')-Ib`:`aph(6)-Id`:blaEC:`blaTEM-1`:dfrA17:floR:`mph(A)`:qacEdelta1:sul1:sul2:`tet(A)`",NA,1.21712198341147
"aadA1:aadA2:`aph(3')-Ia`:`blaCARB-2`:`blaCTX-M-15`:blaEC:`blaTEM-57`:cmlA1:dfrA16:`erm(42)`:floR:qacL:sul3:`tet(A)`",NA,2.30172527131696
"`aac(3)-IId`:aadA5:`aph(3'')-Ib`:`aph(6)-Id`:`blaCTX-M-65`:blaEC:`blaTEM-1`:dfrA17:`erm(B)`:fosA3:`mph(A)`:qacEdelta1:sul1:sul2:`tet(A)`",NA,1.00846173786157
"`aac(3)-IId`:aadA1:aadA2:aadA5:`aph(3'')-Ib`:`aph(3')-IIa`:`aph(6)-Id`:`blaCTX-M-55`:blaEC:`blaNDM-5`:`blaTEM-1`:ble:bleO:cmlA1:dfrA17:floR:`mph(A)`:qacE:qacL:sul1:sul2:sul3:`tet(A)`",NA,0.880868123022173
